id;edad;genero;ocupacion;ingreso_mensual;frecuencia_entrenamiento;tiempo_sesion_min;tipo_entrenamiento;objetivo_principal;motivacion;barreras;usa_app_fitness;nivel_tecnologia;disposicion_pago;lugar_preferido
62;55;F;profesional;1751752;3;42;cardio;rehabilitacion;mental;tiempo;True;alto;alta;casa
63;57;F;independiente;1663789;4;31;HIIT;bajar_peso;mental;tiempo;True;alto;alta;casa
64;59;F;profesional;1806760;3;42;cardio;rehabilitacion;medica;desmotivacion;True;medio;media;casa
65;45;M;independiente;1430211;5;84;pesas;ganar_musculo;estetica;tiempo;True;medio;baja;aire_libre
66;35;F;profesional;2326226;3;56;funcional;rehabilitacion;salud;tiempo;True;alto;baja;casa
67;49;M;independiente;1450851;3;83;pesas;salud;medica;lesiones;True;medio;media;casa
68;53;F;independiente;802107;2;56;yoga;salud;medica;tiempo;True;alto;media;gimnasio
69;22;F;estudiante;639556;4;54;funcional;salud;salud;dinero;True;alto;alta;aire_libre
70;33;F;profesional;2406111;4;45;cardio;bajar_peso;mental;dinero;False;bajo;baja;casa
71;30;F;profesional;1495164;4;51;funcional;estetica;social;tiempo;True;medio;baja;gimnasio
72;46;M;independiente;2147535;3;26;HIIT;salud;mental;tiempo;True;bajo;media;aire_libre
73;27;M;profesional;1581487;5;60;pesas;ganar_musculo;estetica;desmotivacion;True;medio;media;gimnasio
74;35;F;profesional;1976958;3;46;funcional;bienestar;salud;tiempo;True;medio;baja;casa
75;39;F;jubilado;431890;3;55;yoga;bienestar;salud;lesiones;False;bajo;alta;aire_libre
76;34;M;profesional;2252821;3;26;HIIT;bajar_peso;mental;dinero;True;medio;media;aire_libre
77;32;F;independiente;1355461;2;47;yoga;bienestar;social;tiempo;True;medio;media;gimnasio
78;27;M;profesional;2177732;;;;;;;;medio;media;aire_libre
79;34;F;profesional;2011224;3;87;pesas;estetica;salud;tiempo;True;alto;media;aire_libre
80;43;F;independiente;2262029;3;57;funcional;bajar_peso;salud;tiempo;True;alto;media;aire_libre
81;56;M;profesional;1880452;2;49;funcional;salud;social;tiempo;True;medio;media;aire_libre
82;39;F;profesional;2386786;4;75;pesas;ganar_musculo;estetica;tiempo;True;alto;alta;aire_libre
83;34;F;profesional;1442989;3;52;yoga;bienestar;salud;tiempo;True;medio;baja;casa
84;46;F;independiente;1776299;5;48;funcional;ganar_musculo;rendimiento;desmotivacion;False;alto;baja;gimnasio
85;22;F;estudiante;489715;4;55;yoga;bajar_peso;estetica;dinero;True;alto;baja;casa
86;23;F;profesional;1732693;4;64;pesas;estetica;estetica;tiempo;False;alto;media;gimnasio
87;24;M;profesional;2182238;3;50;cardio;salud;salud;desmotivacion;True;medio;alta;aire_libre
88;29;M;profesional;1738076;5;22;HIIT;bajar_peso;rendimiento;tiempo;True;medio;media;casa
89;33;M;independiente;786030;5;63;pesas;bajar_peso;estetica;tiempo;True;medio;baja;gimnasio
90;56;F;profesional;1519556;3;55;yoga;rehabilitacion;medica;lesiones;False;medio;alta;casa
91;40;F;profesional;2543797;4;49;pilates;estetica;rendimiento;tiempo;True;alto;alta;casa
92;41;F;independiente;921551;5;47;yoga;ganar_musculo;rendimiento;conocimiento;;;;gimnasio
93;30;F;jubilado;579166;4;46;yoga;bajar_peso;salud;desmotivacion;False;bajo;baja;casa
94;44;F;profesional;2575652;3;44;cardio;salud;salud;desmotivacion;True;medio;media;gimnasio
95;48;M;profesional;2181956;5;58;yoga;bienestar;mental;conocimiento;True;bajo;media;gimnasio
96;47;M;profesional;2208658;3;53;pilates;salud;estetica;tiempo;True;medio;alta;gimnasio
97;46;M;profesional;2140691;2;37;cardio;rehabilitacion;medica;tiempo;False;medio;baja;gimnasio
98;50;M;profesional;1761791;4;60;pesas;bajar_peso;estetica;desmotivacion;False;bajo;baja;aire_libre
99;44;M;profesional;1684401;3;60;yoga;salud;salud;tiempo;True;alto;alta;gimnasio
100;38;M;profesional;1053444;2;45;yoga;bienestar;mental;lesiones;True;medio;media;casa
101;40;F;profesional;1198766;4;55;funcional;bajar_peso;mental;tiempo;True;alto;alta;gimnasio
102;52;M;profesional;1520490;4;46;funcional;bajar_peso;salud;tiempo;True;medio;alta;casa
103;33;F;profesional;2356648;5;42;cardio;ganar_musculo;estetica;tiempo;True;alto;media;gimnasio
104;27;F;profesional;2089000;1;48;pilates;bienestar;otro;tiempo;True;alto;media;casa
105;34;M;profesional;1930943;1;90;pesas;estetica;otro;tiempo;True;alto;media;casa
106;33;M;independiente;765306;5;72;pesas;ganar_musculo;estetica;desmotivacion;True;alto;alta;gimnasio
107;21;M;estudiante;340310;4;35;HIIT;ganar_musculo;estetica;dinero;True;alto;baja;aire_libre
108;24;F;profesional;2283199;4;44;cardio;bienestar;social;tiempo;False;alto;baja;aire_libre
109;60;;;1853427;3;76;pesas;bajar_peso;social;dinero;False;medio;baja;gimnasio
110;48;M;profesional;2378053;2;45;cardio;desconocido;social;tiempo;True;medio;media;gimnasio
111;46;F;profesional;1271088;3;49;pilates;salud;mental;desmotivacion;True;alto;baja;casa
112;18;F;estudiante;384917;2;28;HIIT;bienestar;social;desmotivacion;True;alto;media;gimnasio
113;43;M;profesional;2328588;2;20;HIIT;ganar_musculo;mental;tiempo;True;alto;baja;aire_libre
114;49;M;independiente;1731009;5;85;pesas;ganar_musculo;rendimiento;tiempo;True;medio;alta;gimnasio
115;18;F;estudiante;543501;4;64;pesas;bajar_peso;mental;conocimiento;True;alto;media;casa
116;19;F;estudiante;429980;4;55;pilates;rehabilitacion;salud;lesiones;True;alto;baja;aire_libre
117;27;F;profesional;2045974;3;46;pilates;bajar_peso;estetica;tiempo;True;medio;alta;gimnasio
118;65;M;jubilado;404287;4;26;HIIT;ganar_musculo;salud;lesiones;False;bajo;media;casa
119;32;M;profesional;2307032;2;84;pesas;desconocido;rendimiento;tiempo;True;medio;media;casa
120;25;F;estudiante;474609;5;57;funcional;bajar_peso;salud;conocimiento;True;medio;baja;gimnasio
121;30;F;profesional;2027282;5;85;pesas;ganar_musculo;rendimiento;lesiones;True;medio;media;gimnasio
122;44;F;jubilado;810467;3;57;funcional;salud;salud;conocimiento;False;bajo;baja;casa
123;23;F;estudiante;464465;4;46;yoga;bajar_peso;mental;tiempo;True;alto;media;gimnasio
124;42;M;profesional;1431348;5;53;yoga;bajar_peso;rendimiento;desmotivacion;True;medio;alta;gimnasio
125;33;F;independiente;1324142;4;53;pilates;bajar_peso;estetica;dinero;True;medio;media;aire_libre
126;41;M;jubilado;821850;2;36;cardio;desconocido;social;conocimiento;True;medio;media;casa
127;59;F;independiente;1930672;2;75;pesas;estetica;estetica;tiempo;True;alto;media;casa
128;22;M;estudiante;642303;4;22;HIIT;bajar_peso;otro;dinero;False;medio;media;gimnasio
129;45;M;profesional;1505520;4;54;funcional;estetica;estetica;conocimiento;True;bajo;alta;aire_libre
130;36;M;profesional;;;;;bienestar;social;tiempo;False;bajo;media;gimnasio
131;37;F;profesional;1699645;3;47;pilates;salud;estetica;dinero;True;medio;alta;casa
132;62;F;jubilado;536726;3;56;funcional;salud;salud;conocimiento;True;medio;alta;casa
133;20;F;estudiante;463042;3;44;cardio;rehabilitacion;medica;lesiones;True;medio;baja;casa
134;33;M;independiente;2092706;3;71;pesas;bajar_peso;rendimiento;dinero;False;bajo;media;gimnasio
135;22;M;estudiante;581364;4;34;HIIT;bajar_peso;salud;tiempo;True;alto;media;gimnasio
136;42;M;profesional;2531440;3;71;pesas;bienestar;salud;tiempo;True;medio;alta;gimnasio
137;18;M;estudiante;450518;3;57;yoga;estetica;rendimiento;dinero;True;alto;baja;aire_libre
138;26;M;profesional;2130994;5;45;pilates;ganar_musculo;;tiempo;False;alto;baja;aire_libre
139;33;F;profesional;1481640;3;;pesas;salud;mental;tiempo;True;alto;baja;aire_libre
140;58;F;profesional;1070414;4;84;pesas;ganar_musculo;estetica;tiempo;True;alto;alta;casa
141;39;F;independiente;2003599;4;52;yoga;bajar_peso;salud;tiempo;True;alto;alta;gimnasio
142;44;M;independiente;2113442;3;58;funcional;salud;salud;tiempo;True;medio;alta;casa
143;33;F;independiente;1330689;2;57;yoga;bienestar;mental;tiempo;True;bajo;alta;casa
144;42;M;profesional;1469441;4;47;cardio;bajar_peso;salud;dinero;True;alto;alta;casa
145;59;M;profesional;1398508;3;52;funcional;desconocido;salud;desmotivacion;True;bajo;media;casa
146;;;;1754229;3;31;HIIT;salud;salud;dinero;True;medio;alta;casa
147;57;F;profesional;2224803;3;55;funcional;salud;medica;conocimiento;True;medio;media;casa
148;65;M;jubilado;784183;3;46;funcional;bienestar;;;;bajo;baja;gimnasio
149;24;M;profesional;1864849;5;80;pesas;ganar_musculo;estetica;tiempo;True;alto;media;gimnasio
150;42;F;profesional;1955770;3;25;HIIT;salud;medica;conocimiento;True;alto;alta;aire_libre
151;19;M;estudiante;485829;5;81;pesas;ganar_musculo;rendimiento;lesiones;True;alto;alta;gimnasio
152;65;M;jubilado;598843;3;70;pesas;bienestar;mental;desmotivacion;True;medio;baja;gimnasio
153;22;M;estudiante;597158;2;40;cardio;ganar_musculo;mental;tiempo;True;alto;media;gimnasio
154;24;M;profesional;1161349;4;49;funcional;bajar_peso;mental;tiempo;True;alto;media;gimnasio
155;23;M;estudiante;529160;2;80;pesas;bajar_peso;mental;lesiones;True;alto;baja;gimnasio
156;40;M;profesional;1458996;3;49;yoga;salud;mental;conocimiento;True;medio;media;casa
157;21;F;estudiante;302723;4;76;pesas;ganar_musculo;estetica;dinero;True;medio;alta;gimnasio
158;26;M;profesional;1807902;4;25;HIIT;estetica;rendimiento;lesiones;True;alto;alta;gimnasio
159;29;F;estudiante;527895;3;79;pesas;ganar_musculo;social;tiempo;True;alto;alta;gimnasio
160;31;F;independiente;1391099;3;26;HIIT;estetica;rendimiento;tiempo;True;medio;alta;gimnasio
161;30;F;independiente;1729716;4;51;yoga;bienestar;estetica;tiempo;False;bajo;media;aire_libre
162;53;F;independiente;2404108;5;34;cardio;bajar_peso;rendimiento;desmotivacion;True;alto;alta;gimnasio
163;41;M;profesional;2366655;3;31;HIIT;bienestar;salud;tiempo;True;medio;media;aire_libre
164;36;F;profesional;2513662;2;33;HIIT;salud;salud;tiempo;True;alto;alta;aire_libre
165;33;M;independiente;1163537;4;63;pesas;ganar_musculo;rendimiento;tiempo;True;medio;baja;gimnasio
166;24;M;estudiante;463520;4;62;pesas;bajar_peso;salud;tiempo;True;alto;baja;gimnasio
167;24;F;estudiante;386168;3;57;yoga;bienestar;mental;dinero;True;medio;media;casa
168;41;F;independiente;1169509;4;48;funcional;salud;medica;desmotivacion;True;medio;media;casa
169;28;F;estudiante;556630;4;25;HIIT;estetica;rendimiento;dinero;True;alto;baja;aire_libre
170;34;M;independiente;1356798;3;57;yoga;salud;salud;tiempo;True;alto;media;casa
171;37;M;profesional;1358934;4;32;HIIT;bajar_peso;otro;tiempo;True;alto;media;gimnasio
172;42;F;independiente;1811120;4;84;pesas;ganar_musculo;estetica;tiempo;True;alto;media;gimnasio
173;53;F;profesional;1717983;3;58;pilates;salud;medica;conocimiento;True;medio;baja;casa
174;49;M;profesional;1706279;4;31;HIIT;rehabilitacion;mental;tiempo;True;alto;media;aire_libre
175;34;F;profesional;1433990;3;48;cardio;bajar_peso;salud;lesiones;True;medio;baja;gimnasio
176;65;M;jubilado;793265;3;30;HIIT;desconocido;salud;tiempo;False;bajo;baja;casa
177;42;F;independiente;2117448;4;31;HIIT;bajar_peso;salud;dinero;True;medio;alta;gimnasio
178;36;M;profesional;2512450;4;70;pesas;ganar_musculo;social;conocimiento;False;medio;alta;gimnasio
179;44;M;independiente;2237985;3;74;pesas;bajar_peso;salud;lesiones;True;medio;baja;gimnasio
180;27;M;profesional;1574660;4;27;HIIT;ganar_musculo;rendimiento;tiempo;True;alto;alta;gimnasio
181;19;F;estudiante;418589;3;60;funcional;bajar_peso;salud;conocimiento;True;alto;media;casa
182;46;F;profesional;1790341;3;30;cardio;bienestar;;tiempo;True;alto;alta;casa
183;28;M;estudiante;515854;4;56;funcional;ganar_musculo;estetica;dinero;True;medio;media;casa
184;20;M;estudiante;615096;3;26;HIIT;estetica;mental;tiempo;True;medio;media;gimnasio
185;24;M;profesional;1236440;4;57;funcional;ganar_musculo;estetica;tiempo;True;alto;media;gimnasio
186;27;M;independiente;853074;4;80;pesas;ganar_musculo;estetica;desmotivacion;True;alto;baja;gimnasio
187;31;F;profesional;2291944;3;78;pesas;salud;otro;tiempo;True;alto;media;gimnasio
188;46;F;profesional;1650503;2;35;cardio;rehabilitacion;salud;tiempo;True;alto;media;casa
189;47;F;profesional;2293163;2;45;funcional;salud;mental;tiempo;True;medio;alta;aire_libre
190;39;M;profesional;1219708;3;48;pilates;salud;medica;tiempo;True;medio;media;gimnasio
191;24;F;estudiante;490828;3;58;pilates;salud;salud;conocimiento;True;alto;media;gimnasio
192;60;F;jubilado;595458;3;59;funcional;salud;salud;lesiones;True;medio;baja;casa
193;26;M;estudiante;405209;2;84;pesas;estetica;estetica;lesiones;True;alto;baja;casa
194;48;F;independiente;825157;2;29;HIIT;bajar_peso;otro;tiempo;True;alto;media;aire_libre
195;32;M;jubilado;474644;3;47;pilates;rehabilitacion;salud;desmotivacion;True;bajo;media;casa
196;41;F;profesional;2007836;2;70;pesas;bienestar;social;tiempo;True;medio;alta;aire_libre
197;19;F;profesional;1228532;3;54;funcional;bienestar;salud;lesiones;True;alto;baja;gimnasio
198;24;M;independiente;2161459;3;21;HIIT;bienestar;salud;lesiones;True;medio;alta;gimnasio
199;55;M;independiente;1865919;2;52;pilates;rehabilitacion;medica;tiempo;True;medio;media;gimnasio
200;26;M;estudiante;339314;3;40;cardio;salud;medica;conocimiento;True;alto;baja;aire_libre
201;22;F;estudiante;560113;4;31;cardio;bajar_peso;salud;dinero;True;alto;baja;aire_libre
202;42;F;profesional;1184276;4;45;yoga;bienestar;estetica;tiempo;True;alto;media;aire_libre
203;33;M;profesional;2186256;3;46;funcional;salud;medica;dinero;True;medio;alta;casa
204;34;M;jubilado;452499;4;48;cardio;bajar_peso;mental;desmotivacion;True;medio;baja;aire_libre
205;27;F;profesional;2463028;4;86;pesas;estetica;rendimiento;tiempo;True;alto;media;casa
206;39;F;profesional;1173681;4;50;yoga;bajar_peso;social;tiempo;True;alto;baja;casa
207;25;F;profesional;1297067;3;63;pesas;salud;medica;lesiones;True;medio;alta;gimnasio
208;61;M;profesional;2361429;3;25;HIIT;bienestar;salud;tiempo;True;alto;media;gimnasio
209;27;M;independiente;1901321;3;52;funcional;salud;salud;lesiones;False;medio;alta;aire_libre
210;40;M;profesional;1753582;3;53;yoga;salud;salud;dinero;False;alto;media;casa
211;26;M;estudiante;529753;3;75;pesas;bienestar;mental;tiempo;False;medio;baja;gimnasio
212;48;F;profesional;1177078;4;47;cardio;desconocido;salud;tiempo;True;alto;baja;casa
213;34;M;independiente;1604550;4;82;pesas;estetica;estetica;tiempo;True;bajo;baja;gimnasio
214;39;F;profesional;1915173;3;49;cardio;salud;salud;tiempo;True;medio;alta;casa
215;29;M;profesional;1242239;4;42;cardio;bajar_peso;salud;tiempo;True;alto;media;gimnasio
216;32;F;independiente;1883310;4;52;yoga;bajar_peso;salud;dinero;True;alto;media;aire_libre
217;51;M;independiente;1865355;4;46;cardio;salud;estetica;tiempo;True;medio;media;gimnasio
218;36;M;profesional;1418097;1;50;cardio;salud;otro;tiempo;False;bajo;media;aire_libre
219;26;F;profesional;2157741;3;58;funcional;bienestar;estetica;desmotivacion;True;alto;alta;casa
220;44;M;independiente;967608;3;60;yoga;bienestar;mental;tiempo;True;medio;media;casa
221;21;F;estudiante;510616;3;30;cardio;bienestar;salud;conocimiento;False;alto;baja;aire_libre
222;32;M;independiente;1178061;2;51;funcional;bienestar;mental;tiempo;False;alto;baja;casa
223;32;M;independiente;817872;2;;pesas;bienestar;mental;conocimiento;True;medio;baja;casa
224;25;F;profesional;1755761;3;41;cardio;salud;salud;tiempo;True;medio;media;gimnasio
225;62;M;jubilado;485728;4;36;cardio;bajar_peso;salud;lesiones;True;bajo;baja;aire_libre
226;39;M;profesional;2552209;4;54;yoga;bajar_peso;salud;tiempo;False;alto;media;gimnasio
227;31;M;profesional;1457617;4;86;pesas;estetica;estetica;tiempo;True;medio;media;aire_libre
228;39;F;profesional;1190569;2;51;yoga;bienestar;salud;lesiones;True;alto;media;gimnasio
229;64;F;jubilado;473363;4;48;cardio;desconocido;estetica;lesiones;False;bajo;media;casa
230;53;M;profesional;2649911;3;53;yoga;salud;salud;tiempo;True;alto;media;casa
231;65;M;jubilado;516524;3;48;yoga;salud;medica;lesiones;True;medio;baja;casa
232;44;F;independiente;1837055;4;55;funcional;bajar_peso;rendimiento;tiempo;True;alto;media;aire_libre
233;62;F;independiente;1078235;3;35;cardio;bienestar;salud;tiempo;True;medio;alta;casa
234;46;F;profesional;2090590;3;55;funcional;rehabilitacion;medica;tiempo;False;alto;media;gimnasio
235;18;M;estudiante;480538;4;34;HIIT;bajar_peso;salud;dinero;True;alto;media;casa
236;27;F;independiente;1453403;3;51;pilates;salud;medica;tiempo;True;medio;media;aire_libre
237;20;M;profesional;1786835;2;;;;otro;desmotivacion;True;medio;alta;aire_libre
238;26;M;profesional;1321130;3;82;pesas;ganar_musculo;estetica;tiempo;True;alto;baja;gimnasio
239;23;M;estudiante;355712;1;50;funcional;estetica;social;dinero;True;alto;media;gimnasio
240;32;F;profesional;2408516;5;48;pilates;bajar_peso;social;conocimiento;True;alto;media;casa
241;29;F;estudiante;391594;1;31;cardio;bienestar;mental;dinero;False;medio;media;aire_libre
242;40;F;profesional;2419224;3;57;yoga;bienestar;mental;tiempo;True;alto;alta;casa
243;27;F;profesional;1122990;4;32;HIIT;bajar_peso;estetica;desmotivacion;False;bajo;media;gimnasio
244;57;F;profesional;1862525;2;48;cardio;bienestar;social;tiempo;True;alto;baja;gimnasio
245;63;M;independiente;899737;2;46;yoga;rehabilitacion;salud;tiempo;True;medio;baja;gimnasio
246;42;M;independiente;899853;2;37;cardio;bienestar;salud;dinero;True;medio;media;gimnasio
247;36;M;profesional;1311393;4;49;cardio;salud;medica;tiempo;False;bajo;media;aire_libre
248;63;F;jubilado;898259;4;82;pesas;bajar_peso;salud;desmotivacion;True;medio;baja;gimnasio
249;24;M;estudiante;486195;4;64;pesas;ganar_musculo;salud;dinero;False;medio;baja;gimnasio
250;29;M;estudiante;505990;4;81;pesas;ganar_musculo;salud;dinero;True;alto;baja;gimnasio
251;34;M;profesional;2046119;2;89;pesas;bajar_peso;mental;lesiones;True;alto;media;aire_libre
252;47;F;independiente;2168332;5;30;HIIT;rehabilitacion;social;desmotivacion;False;bajo;media;gimnasio
253;21;M;profesional;2074359;4;49;cardio;bienestar;social;desmotivacion;True;alto;media;gimnasio
254;57;M;independiente;1072900;3;58;funcional;salud;medica;dinero;True;medio;baja;gimnasio
255;41;M;profesional;1105648;3;49;funcional;salud;mental;lesiones;True;alto;media;casa
256;33;F;independiente;914916;4;54;yoga;bajar_peso;mental;tiempo;True;medio;alta;casa
257;31;M;jubilado;563920;4;67;pesas;ganar_musculo;mental;tiempo;True;bajo;baja;gimnasio
258;44;M;independiente;1161083;4;43;cardio;bajar_peso;salud;dinero;True;alto;alta;gimnasio
259;24;F;profesional;2488326;3;39;cardio;salud;mental;desmotivacion;True;bajo;media;aire_libre
260;30;M;jubilado;672947;4;70;pesas;ganar_musculo;estetica;lesiones;True;alto;media;gimnasio
261;64;M;profesional;2361681;3;55;pilates;rehabilitacion;salud;desmotivacion;True;alto;media;aire_libre
262;20;M;estudiante;570987;1;76;pesas;bienestar;mental;conocimiento;True;medio;alta;gimnasio
263;63;M;jubilado;510510;4;83;pesas;ganar_musculo;estetica;conocimiento;False;bajo;baja;gimnasio
264;65;F;jubilado;573914;3;58;funcional;salud;medica;desmotivacion;True;alto;baja;aire_libre
265;25;F;estudiante;303092;4;48;funcional;ganar_musculo;salud;dinero;True;medio;baja;
266;39;M;profesional;1920042;5;54;funcional;salud;mental;conocimiento;True;medio;alta;aire_libre
267;40;M;profesional;2272268;4;56;funcional;bajar_peso;estetica;tiempo;True;alto;baja;gimnasio
268;57;F;profesional;1530037;4;74;pesas;bajar_peso;rendimiento;lesiones;True;alto;alta;aire_libre
269;39;F;independiente;1807797;4;60;yoga;bajar_peso;salud;tiempo;False;bajo;media;casa
270;34;F;profesional;1663398;3;56;funcional;bienestar;salud;desmotivacion;True;bajo;media;gimnasio
271;62;F;independiente;1721253;3;68;pesas;bienestar;social;tiempo;True;medio;media;casa
272;45;M;independiente;2112343;3;49;funcional;salud;medica;conocimiento;True;medio;alta;casa
273;49;F;profesional;1308895;3;76;pesas;bienestar;estetica;desmotivacion;True;alto;alta;gimnasio
274;44;M;jubilado;785833;3;51;yoga;salud;medica;lesiones;False;bajo;baja;casa
275;32;M;profesional;2360054;4;50;funcional;bajar_peso;rendimiento;tiempo;True;alto;alta;casa
276;36;F;profesional;1540825;4;49;funcional;estetica;estetica;desmotivacion;True;medio;alta;casa
277;39;F;profesional;1847617;4;60;pilates;bajar_peso;salud;tiempo;True;medio;alta;gimnasio
278;45;F;profesional;2466467;3;42;cardio;salud;medica;tiempo;True;alto;media;gimnasio
279;23;M;independiente;879827;4;78;pesas;bajar_peso;salud;tiempo;True;alto;media;gimnasio
280;39;F;independiente;1733544;3;58;yoga;bienestar;mental;dinero;True;medio;media;aire_libre
281;22;M;profesional;2114489;4;33;HIIT;bajar_peso;mental;conocimiento;True;medio;alta;casa
282;22;F;independiente;1711086;3;49;yoga;estetica;salud;desmotivacion;True;medio;media;casa
283;56;F;independiente;1556994;3;36;cardio;bienestar;salud;dinero;True;alto;alta;casa
